title,text,rating,sentiment
Beauty is not the best,"We booked this hotel as it offered close proximity to the the centre of New Orleans and it offered disabled facilities in 'superior' rooms. We arrived late because we took the Amtrak from New York 36hrs we arrived at 21.30, very tired. Expecting a decent night sleep we were told they did not have a double room with a disabled friendly shower but a single room on the 7th Floor(they had elevators) with the correct shower. They asked was this acceptable We were so tired we said yes Ok. We were then informed that we would be charges an additional 50 per night for 12 nights for 'extras'. Extras we asked what extras/ Food, movies, drinks, breakfast.We were so tired we said OK. They then hit my card for 3000 - before leaving London we had agreed with our card company that no transaction would exceed 2800 as we had had stolen/lost cards in the past. We had forgotten this limit and the receptionist said the card was rejected. We could not work out why this had happened. So we paid for 1 night with the intention to sort the problem in the morning. However when we went up to the room we were delighted with the bathroom and felt that the size of the room was just about adequate. I was still upset about the card being rejected so I called the 'local' number of my bank. They confirmed there were no problems but reminded me of the limit I had set. As the room did not have a fridge or safe and as we were so tired I decided to deal with the problems in the morning. The following day I went to reception and the manager (i presume) allowed me to pay the bill account on 2 cards saying he understood why this had happened. I asked anbot a fridge he said it would be delivered. There was no safe available. I was not asked to pay the 'extra' this time so payment was made of a further 2200 split on the 2 cards. We went out and on our return found a fridge of 3ft square in the bedroom - so large that it hampered access to the bathroom. We had eaten out so thought we would watch a movie. The TV in our room refused to show us what was available so I rang reception - only no the line was still connected to my European Bamk on the local number. This phone call connection lasted 3 days.and paid 17.98 3minute . So, in spite of my disability I went down to reception and was told that they did not offer movies! As i had paid I could not afford to move and so we were stuck in this hotel. Finally on our last day no one helped with the luggage. I would write a lot but no more room ",1,-1
New Orleans Hospitality at its Finest!,"Special birthday trip for 5 days. We narrowed our choices on Hotels.com to finally choose The Whitney. We stay at many 'upscale' hotels in our business travels, and wanted an 'experience'. Location - perfect, a couple of blocks to the French Quarter, 3 or 4 to the Riverwalk, great food nearby. Starting with Earl (the Pearl) checking us in, and Michelle (long brown hair) made us feel comfortable far beyond the typical experience. They were knowledgeable and available for any of our needs wants, as other staff including housekeeping, they are great!Cleanliness rates a 10+Southern Hospitality 10+",5,1
Good Location,"The Hotel is within easy distance of both the French Quarter and the Warehouse district. This is a historic building built as a bank and office use, so rooms may be smaller than a normal hotel, but the building has character. The staff was 5 star by being attentive, friendly, and helpful. My room was very clean and comfortable. I will stay again.",4,1
What a difference a year makes.,"We have stayed at The Whitney before, but had no idea that the hotel no longer had a bar nor restaurant. This is a sad commentary, since we enjoyed the hotel last year, and were looking forward to another visit. The staff was again cooperative, understanding, and friendly. But, the sink had only a trickle for water flow, and the engineer could not fix the problem. And, we were there for 5 ngts.",2,-1
maikel joosten,"I had a great stay at the hotel, walking distance from everything good in new orleans, rooms are nice, building has charming status due to the old bank stuff, i would recommend the whitney to anyone! You if you look for a place to stay in new orleans go there!",5,1
Nice hotel for a short stay,We enjoyed this lovely hotel. It was nice to go to breakfast and look up and see the beautiful architectural details. The bank vault of course was extraordinary. We learned that the hotel is still attached to a working bank. The restaurant was lovely and the bacon egg and cheese croissant was fresh and delicious. The room was nice enough and clean enough. We would definitely stay here again for a quick stay.,4,1
Good centrally located hotel with old time charm.,The Whitney is about five blocks or so from Canal and on to the bars and restaurants of the French Quarter. At night it is a quiet walk past hotels and office buildings once you cross canal returning home. The staff is very friendly in that way New Orleans is. There is a small restaurant for breakfast and coffee if it is raining outside. Rooms are nice and quiet. Would definitely stay again.,4,1
Birthday trip to NOLA,"For my mother's 90th birthday, she wanted to go to New Orleans (has not been since 1959) and we had a fabulous time. My thanks to the Whitney for making her feel so special, absolutely everyone at the hotel was gracious, helpful, polite and fun. The hotel was completely booked, but our spacious rooms/bathrooms were cleaned promptly and it was not noisy. I highly recommend the Whitney Hotel for the perfect stay in New Orleans...",5,1
3/31 to 4/2,"When my original room was not ready, staff upgraded me to suite, which was great, with one exception. Given the historic nature of the property, electrical outlets were not readily accessible. The location was great for the purpose of my trip. Everywhere I needed to go was w/in a block.",4,1
Poor bar and Resturant facilities closed during our trip,The bar closed at 10pm which was poorOnly 3 days into our 8 day trip we were told the bar and Resturant were closed leaving us with no facilities in the hotel We should have been told that when we were booking and would not have booked it as it's nice to eat and drink in the hotel after a long days walking around town,3,-1
Excellent service and accomdation,"I thoroughly enjoyed my stay at this Hotel. The room was clean, quiet for sleeping and comfortable. Very convenient for transportation and access to popular locations. I did not use the restaurant facilities, I think there could be a little more promotion for the dining room.",4,1
Another great stay in New Orleans,"I was in town for the Crescent City Classic. The Whitney Hotel is easy walking distance to the start of the 10K race. Also close to the French Quarter and the WWII museum. I like the Central Business District and this location is very central for my purposes, with St. Charles street car close by to the Quarter and the Garden District. Very good value compared to comparable hotels. I have stayed here twice before and will try to stay here again my next trip. Was a good hotel for me.",5,1
Very nice hotel well situated in New Orleans,"Hotel is older but quite nice. Staff are friendly and helpful. Rooms are well appointed and quite modern. There is a bit of traffic noise from the street (I was on the 3rd floor) but this is to be expected downtown in a major city. (plus I was there the day the St. Patrick's day parade occurred, and its route took it right by the corner of the hotel). I didn't use the restaurant but it looked very decent. It's quite close to the various things to do or a quick cab ride away if you don't want to walk. I would certainly stay there again.",4,1
love the lobby!,Stayed for one night. Hotel is in a great location to walk to Superdome for Saints game and have dinner at the great Restaurants in the warehouse district. Hotel is clean and quiet. Loved how the lobby and check in area still have the large safe and bank windows throughout.,5,1
